cycles,flops_per_cycle,gflops_per_sec,n,order,time
201874758,0.00990713,0.0267493,100,dgemm,0.0747684
300243,6.66127,17.9854,100,dgemm,0.000111201
294594,6.789,18.3303,100,dgemm,0.000109109
293568,6.81273,18.3944,100,dgemm,0.000108729
293253,6.82005,18.4141,100,dgemm,0.000108612
292809,6.83039,18.4421,100,dgemm,0.000108448
292503,6.83754,18.4613,100,dgemm,0.000108334
292329,6.84161,18.4723,100,dgemm,0.00010827
301398,6.63574,17.9165,100,dgemm,0.000111629
295746,6.76256,18.2589,100,dgemm,0.000109536
4694946,3.40792,9.20138,200,dgemm,0.00173887
2082336,7.68368,20.7459,200,dgemm,0.000771236
2072622,7.71969,20.8432,200,dgemm,0.000767638
2073144,7.71775,20.8379,200,dgemm,0.000767831
2067261,7.73971,20.8972,200,dgemm,0.000765652
2093145,7.644,20.6388,200,dgemm,0.000775239
2073594,7.71607,20.8334,200,dgemm,0.000767998
2072784,7.71909,20.8415,200,dgemm,0.000767698
2075118,7.7104,20.8181,200,dgemm,0.000768562
2067942,7.73716,20.8903,200,dgemm,0.000765904
34196562,7.31068,19.7388,500,dgemm,0.0126654
30325980,8.24376,22.2581,500,dgemm,0.0112318
30305823,8.24924,22.2729,500,dgemm,0.0112244
30309900,8.24813,22.27,500,dgemm,0.0112259
30304656,8.24956,22.2738,500,dgemm,0.0112239
30306393,8.24908,22.2725,500,dgemm,0.0112246
30314145,8.24698,22.2668,500,dgemm,0.0112275
30298896,8.25113,22.278,500,dgemm,0.0112218
30299877,8.25086,22.2773,500,dgemm,0.0112222
30320385,8.24528,22.2623,500,dgemm,0.0112298
248327094,8.05389,21.7455,1000,dgemm,0.091973
241713936,8.27424,22.3405,1000,dgemm,0.0895237
241381143,8.28565,22.3713,1000,dgemm,0.0894004
241323405,8.28763,22.3766,1000,dgemm,0.089379
241257072,8.28991,22.3828,1000,dgemm,0.0893545
241170252,8.2929,22.3908,1000,dgemm,0.0893223
241344246,8.28692,22.3747,1000,dgemm,0.0893868
241191498,8.29217,22.3888,1000,dgemm,0.0893302
241397232,8.2851,22.3698,1000,dgemm,0.0894064
241266240,8.2896,22.3819,1000,dgemm,0.0893579
1898994261,8.42551,22.7489,2000,dgemm,0.703331
1890808686,8.46199,22.8474,2000,dgemm,0.7003
1890562587,8.46309,22.8503,2000,dgemm,0.700208
1891115025,8.46062,22.8437,2000,dgemm,0.700413
1890715974,8.4624,22.8485,2000,dgemm,0.700265
1891068963,8.46082,22.8442,2000,dgemm,0.700396
1890873717,8.4617,22.8466,2000,dgemm,0.700324
1890768891,8.46217,22.8478,2000,dgemm,0.700285
1891398288,8.45935,22.8402,2000,dgemm,0.700518
1890722067,8.46238,22.8484,2000,dgemm,0.700267
29097582033,8.59178,23.1978,5000,dgemm,10.7769
29081993802,8.59638,23.2102,5000,dgemm,10.7711
29082283092,8.5963,23.21,5000,dgemm,10.7712
29081967612,8.59639,23.2103,5000,dgemm,10.7711
29081793060,8.59644,23.2104,5000,dgemm,10.771
29081742135,8.59646,23.2104,5000,dgemm,10.771
29081671323,8.59648,23.2105,5000,dgemm,10.771
29082046401,8.59637,23.2102,5000,dgemm,10.7711
29082797436,8.59615,23.2096,5000,dgemm,10.7714
29082611916,8.5962,23.2097,5000,dgemm,10.7713
